acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.239,https://api.spotify.com/v1/audio-analysis/1ksYsdplUz9eBPqMp3rOHn,0.918,318896,0.436,1ksYsdplUz9eBPqMp3rOHn,0.194,11,0.144,-13.16,0,0.086,1,115.498,4,https://api.spotify.com/v1/tracks/1ksYsdplUz9eBPqMp3rOHn,audio_features,spotify:track:1ksYsdplUz9eBPqMp3rOHn,0.726
0.000504,https://api.spotify.com/v1/audio-analysis/0k30XHFINFgMZbGYFVtgHn,0.766,175880,0.609,0k30XHFINFgMZbGYFVtgHn,0.0,8,0.0895,-3.901,1,0.0377,1,101.012,4,https://api.spotify.com/v1/tracks/0k30XHFINFgMZbGYFVtgHn,audio_features,spotify:track:0k30XHFINFgMZbGYFVtgHn,0.542
0.0496,https://api.spotify.com/v1/audio-analysis/5lIWtgvDTAh37jdp1FjXHB,0.793,209299,0.656,5lIWtgvDTAh37jdp1FjXHB,0.0257,0,0.116,-7.379,0,0.0435,1,124.005,4,https://api.spotify.com/v1/tracks/5lIWtgvDTAh37jdp1FjXHB,audio_features,spotify:track:5lIWtgvDTAh37jdp1FjXHB,0.366
0.211,https://api.spotify.com/v1/audio-analysis/6a85nwEN0YGiZ5ktTRuXDe,0.566,265881,0.733,6a85nwEN0YGiZ5ktTRuXDe,0.0,9,0.0902,-5.079,0,0.35,1,92.296,4,https://api.spotify.com/v1/tracks/6a85nwEN0YGiZ5ktTRuXDe,audio_features,spotify:track:6a85nwEN0YGiZ5ktTRuXDe,0.807
0.214,https://api.spotify.com/v1/audio-analysis/7o2OlQJYtuBPvJmTf2E0FF,0.676,182772,0.584,7o2OlQJYtuBPvJmTf2E0FF,0.00132,1,0.091,-5.788,1,0.155,1,177.962,4,https://api.spotify.com/v1/tracks/7o2OlQJYtuBPvJmTf2E0FF,audio_features,spotify:track:7o2OlQJYtuBPvJmTf2E0FF,0.768
0.702,https://api.spotify.com/v1/audio-analysis/124MaSOWcH8osvjBmftJ9x,0.62,184000,0.564,124MaSOWcH8osvjBmftJ9x,2.62e-05,5,0.0846,-6.674,1,0.134,1,103.068,4,https://api.spotify.com/v1/tracks/124MaSOWcH8osvjBmftJ9x,audio_features,spotify:track:124MaSOWcH8osvjBmftJ9x,0.227
0.0358,https://api.spotify.com/v1/audio-analysis/0OrgLihxmtrXMdFOdE12YO,0.729,244286,0.486,0OrgLihxmtrXMdFOdE12YO,0.636,0,0.102,-8.388,1,0.0282,1,112.056,4,https://api.spotify.com/v1/tracks/0OrgLihxmtrXMdFOdE12YO,audio_features,spotify:track:0OrgLihxmtrXMdFOdE12YO,0.131
0.0209,https://api.spotify.com/v1/audio-analysis/56sviXwQiSHeCT7lHRxwuS,0.514,252235,0.582,56sviXwQiSHeCT7lHRxwuS,0.0835,6,0.0937,-8.835,1,0.101,1,99.996,4,https://api.spotify.com/v1/tracks/56sviXwQiSHeCT7lHRxwuS,audio_features,spotify:track:56sviXwQiSHeCT7lHRxwuS,0.621
0.536,https://api.spotify.com/v1/audio-analysis/7luorMSRpVdnd8ZFvKIDys,0.424,183750,0.538,7luorMSRpVdnd8ZFvKIDys,0.00153,11,0.215,-8.263,0,0.16,1,149.989,4,https://api.spotify.com/v1/tracks/7luorMSRpVdnd8ZFvKIDys,audio_features,spotify:track:7luorMSRpVdnd8ZFvKIDys,0.157
0.222,https://api.spotify.com/v1/audio-analysis/4Tid4MwqgR1CfKCun3tFon,0.734,207881,0.661,4Tid4MwqgR1CfKCun3tFon,2.18e-06,11,0.201,-6.705,1,0.0356,1,134.93,4,https://api.spotify.com/v1/tracks/4Tid4MwqgR1CfKCun3tFon,audio_features,spotify:track:4Tid4MwqgR1CfKCun3tFon,0.253
